year,state,daylight,totprcp,totcold,totheat,totprcp_1,totcold_1,totheat_1,totprcp_2,totcold_2,totheat_2,totprcp_3,totcold_3,totheat_3,totprcp_4,totcold_4,totheat_4,totprcp_5,totcold_5,totheat_5
1991,mississippi,10.02,65.41999999999999,50.0,52.0,53.16,40.0,87.0,58.41999999999999,53.0,35.0,46.550000000000004,40.0,51.0,50.28999999999999,57.0,63.0,51.78,49.0,70.0
1996,mississippi,10.02,48.89,59.0,70.0,60.25,63.0,78.0,57.209999999999994,48.0,44.0,69.64,53.0,79.0,56.269999999999996,42.0,44.0,65.41999999999999,50.0,52.0
2001,mississippi,10.02,60.739999999999995,49.0,48.0,43.68000000000001,64.0,91.0,45.219999999999985,55.0,78.0,60.349999999999994,41.0,99.0,61.27999999999999,33.0,58.0,48.89,59.0,70.0
2006,mississippi,10.02,47.14,64.0,72.0,56.36,68.0,82.0,61.03999999999999,63.0,41.0,71.61,67.0,35.0,51.05,65.0,76.0,60.739999999999995,49.0,48.0
2011,mississippi,10.02,51.449999999999996,62.0,90.0,44.04,70.0,108.0,57.230000000000004,58.0,59.0,61.85,78.0,64.0,33.7,65.0,79.0,47.14,64.0,72.0
1991,wisconsin,8.98,45.53,154.0,3.0,32.150000000000006,167.0,2.0,25.650000000000002,174.0,2.0,26.64,189.0,35.0,27.5,166.0,21.0,30.590000000000003,167.0,5.0
1996,wisconsin,8.98,38.08,174.0,3.0,37.3,160.0,9.0,32.199999999999996,156.0,1.0,32.779999999999994,171.0,0.0,27.949999999999996,167.0,0.0,45.53,154.0,3.0
2001,wisconsin,8.98,39.720000000000006,147.0,10.0,38.059999999999995,150.0,1.0,33.949999999999996,142.0,4.0,36.050000000000004,128.0,1.0,31.200000000000003,168.0,0.0,38.08,174.0,3.0
2006,wisconsin,8.98,24.85,170.0,7.0,31.48,154.0,6.0,34.290000000000006,144.0,1.0,27.63999999999999,158.0,2.0,34.790000000000006,180.0,3.0,39.720000000000006,147.0,10.0
2011,wisconsin,8.98,25.360000000000003,164.0,5.0,38.24999999999999,150.0,2.0,24.930000000000007,166.0,1.0,29.07,172.0,0.0,31.63,152.0,4.0,24.85,170.0,7.0
1991,tennessee,9.68,51.81999999999999,74.0,49.0,54.82,62.0,54.0,58.1,91.0,39.0,43.44,92.0,64.0,36.120000000000005,86.0,60.0,38.5,79.0,58.0
1996,tennessee,9.68,61.819999999999986,87.0,40.0,49.05000000000001,84.0,50.0,48.91,72.0,25.0,49.919999999999995,92.0,67.0,37.5,69.0,25.0,51.81999999999999,74.0,49.0
2001,tennessee,9.68,52.59,63.0,31.0,42.300000000000004,76.0,54.0,48.12999999999999,63.0,66.0,52.15,49.0,65.0,54.650000000000006,67.0,28.0,61.819999999999986,87.0,40.0
2006,tennessee,9.68,43.97,66.0,51.0,45.38,74.0,64.0,56.03,73.0,14.0,55.99999999999999,71.0,26.0,62.88000000000001,77.0,55.0,52.59,63.0,31.0
2011,tennessee,9.68,69.49,70.0,64.0,28.009999999999998,85.0,0.0,60.39,66.0,22.0,54.82000000000001,76.0,39.0,43.83,72.0,83.0,43.97,66.0,51.0
1991,ohio,9.33,28.02,119.0,13.0,53.04,112.0,4.0,39.22,130.0,1.0,32.769999999999996,144.0,23.0,25.12,125.0,6.0,45.989999999999995,117.0,0.0
1996,ohio,9.33,52.54,127.0,12.0,49.07000000000001,118.0,15.0,29.24,106.0,13.0,45.46,110.0,20.0,45.25,97.0,0.0,28.02,119.0,13.0
2001,ohio,9.33,57.43,94.0,9.0,42.13,113.0,1.0,38.52,104.0,25.0,43.78999999999999,96.0,14.0,39.809999999999995,113.0,9.0,52.54,127.0,12.0
2006,ohio,9.33,37.89,46.0,11.0,45.5,99.0,20.0,41.47,104.0,5.0,47.24999999999999,113.0,6.0,44.83,99.0,32.0,57.43,94.0,9.0
2011,ohio,9.33,57.690000000000005,109.0,23.0,37.11,127.0,19.0,36.24999999999999,107.0,4.0,46.57,132.0,8.0,32.41,42.0,7.0,37.89,46.0,11.0
1991,indiana,9.33,35.370000000000005,98.0,21.0,49.47,89.0,10.0,54.79,110.0,4.0,33.79,113.0,39.0,33.4,95.0,10.0,35.15,79.0,11.0
1996,indiana,9.33,61.300000000000004,109.0,7.0,46.4,109.0,22.0,38.49999999999999,93.0,12.0,65.64999999999999,101.0,16.0,34.48,91.0,0.0,35.370000000000005,98.0,21.0
2001,indiana,9.33,54.21999999999999,94.0,8.0,51.35,114.0,7.0,35.98,95.0,39.0,51.15,76.0,16.0,39.330000000000005,102.0,12.0,61.300000000000004,109.0,7.0
2006,indiana,9.33,62.919999999999995,90.0,18.0,50.00999999999998,94.0,21.0,49.08,92.0,0.0,52.25,107.0,9.0,53.940000000000005,94.0,30.0,54.21999999999999,94.0,8.0
2011,indiana,9.33,57.56,94.0,33.0,39.09,110.0,27.0,51.73000000000001,94.0,3.0,58.41,112.0,6.0,43.57,106.0,32.0,62.919999999999995,90.0,18.0
1991,iowa,9.05,48.95,147.0,16.0,38.18,146.0,13.0,24.39,154.0,16.0,19.919999999999998,154.0,36.0,31.73,130.0,26.0,40.46,140.0,10.0
1996,iowa,9.05,31.470000000000002,132.0,3.0,31.089999999999996,152.0,13.0,39.43,148.0,4.0,53.56999999999999,158.0,0.0,32.910000000000004,145.0,2.0,48.95,147.0,16.0
2001,iowa,9.05,32.63,139.0,8.0,31.06,144.0,6.0,34.81,138.0,10.0,40.62,128.0,7.0,27.39,160.0,8.0,31.470000000000002,132.0,3.0
2006,iowa,9.05,36.07,146.0,7.0,36.08,154.0,8.0,35.03000000000001,139.0,0.0,28.749999999999996,156.0,11.0,32.779999999999994,173.0,11.0,32.63,139.0,8.0
