"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00338552","URBANA WWTP, OH US","1960-01-01","0.00","0.0",,"30","21","21"
"USC00338552","URBANA WWTP, OH US","1960-01-02","0.00","0.0",,"36","20","25"
"USC00338552","URBANA WWTP, OH US","1960-01-03","0.36","0.0",,"43","25","31"
"USC00338552","URBANA WWTP, OH US","1960-01-04","0.00","0.0",,"32","22","23"
"USC00338552","URBANA WWTP, OH US","1960-01-05","0.00","0.0",,"26","20","22"
"USC00338552","URBANA WWTP, OH US","1960-01-06","0.00","0.0",,"28","19","23"
"USC00338552","URBANA WWTP, OH US","1960-01-07","0.00","0.0",,"38","22","28"
"USC00338552","URBANA WWTP, OH US","1960-01-08","0.00","0.0",,"43","27","33"
"USC00338552","URBANA WWTP, OH US","1960-01-09","0.00","0.0",,"42","20","22"
"USC00338552","URBANA WWTP, OH US","1960-01-10","0.00","0.0",,"47","20","44"
"USC00338552","URBANA WWTP, OH US","1960-01-11","0.00","0.0",,"47","31","32"
"USC00338552","URBANA WWTP, OH US","1960-01-12","0.28","0.0",,"41","31","39"
"USC00338552","URBANA WWTP, OH US","1960-01-13","0.39","0.0",,"59","39","56"
"USC00338552","URBANA WWTP, OH US","1960-01-14","0.00","0.0",,"57","38","39"
"USC00338552","URBANA WWTP, OH US","1960-01-15","0.45","0.0",,"55","37","47"
"USC00338552","URBANA WWTP, OH US","1960-01-16","0.20","0.0",,"50","25","25"
"USC00338552","URBANA WWTP, OH US","1960-01-17","0.00","0.0",,"35","24","25"
"USC00338552","URBANA WWTP, OH US","1960-01-18","0.17","0.0",,"34","25","34"
"USC00338552","URBANA WWTP, OH US","1960-01-19","0.09","0.5",,"42","25","28"
"USC00338552","URBANA WWTP, OH US","1960-01-20","0.00","0.0",,"29","12","14"
"USC00338552","URBANA WWTP, OH US","1960-01-21","0.00","0.4",,"25","7","7"
"USC00338552","URBANA WWTP, OH US","1960-01-22","0.00","0.4",,"18","5","7"
"USC00338552","URBANA WWTP, OH US","1960-01-23","0.00","0.0",,"23","6","15"
"USC00338552","URBANA WWTP, OH US","1960-01-24","0.00","0.0",,"20","10","13"
"USC00338552","URBANA WWTP, OH US","1960-01-25","0.00","0.0",,"28","9","23"
"USC00338552","URBANA WWTP, OH US","1960-01-26","0.00","0.0",,"37","19","23"
"USC00338552","URBANA WWTP, OH US","1960-01-27","0.01","0.0",,"42","21","40"
"USC00338552","URBANA WWTP, OH US","1960-01-28","0.31","0.0",,"42","35","36"
"USC00338552","URBANA WWTP, OH US","1960-01-29","0.00","0.0",,"43","34","35"
"USC00338552","URBANA WWTP, OH US","1960-01-30","0.00","0.0",,"39","25","27"
"USC00338552","URBANA WWTP, OH US","1960-01-31","0.00","0.0",,"40","26","28"
"USC00338552","URBANA WWTP, OH US","1960-02-01","0.00",,"0.0","49","24","25"
"USC00338552","URBANA WWTP, OH US","1960-02-02","0.00",,"0.0","32","22","22"
"USC00338552","URBANA WWTP, OH US","1960-02-03","0.00",,"0.0","27","15","17"
"USC00338552","URBANA WWTP, OH US","1960-02-04","0.00",,"0.0","39","15","27"
"USC00338552","URBANA WWTP, OH US","1960-02-05","0.10",,"0.0","48","27","39"
"USC00338552","URBANA WWTP, OH US","1960-02-06","0.68",,"0.0","45","35","35"
"USC00338552","URBANA WWTP, OH US","1960-02-07","0.03",,"0.0","35","28","28"
"USC00338552","URBANA WWTP, OH US","1960-02-08","0.00",,"0.0","33","24","26"
"USC00338552","URBANA WWTP, OH US","1960-02-09","0.35",,"0.0","40","25","35"
"USC00338552","URBANA WWTP, OH US","1960-02-10","0.23",,"0.0","53","33","53"
