"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00168067","RUSTON LA TECH, LA US","1960-01-01","0.38","0.0","0.0","52","34","40"
"USC00168067","RUSTON LA TECH, LA US","1960-01-02","0.01","0.0","0.0","50","37","49"
"USC00168067","RUSTON LA TECH, LA US","1960-01-03","0.09","0.0","0.0","52","28","35"
"USC00168067","RUSTON LA TECH, LA US","1960-01-04","0.00","0.0","0.0","46","32","39"
"USC00168067","RUSTON LA TECH, LA US","1960-01-05","0.01","0.0","0.0","45","35","39"
"USC00168067","RUSTON LA TECH, LA US","1960-01-06","1.29","0.0","0.0","40","32","35"
"USC00168067","RUSTON LA TECH, LA US","1960-01-07","0.03","0.0","0.0","37","32","36"
"USC00168067","RUSTON LA TECH, LA US","1960-01-08","0.00","0.0","0.0","53","29","37"
"USC00168067","RUSTON LA TECH, LA US","1960-01-09","0.00","0.0","0.0","63","33","42"
"USC00168067","RUSTON LA TECH, LA US","1960-01-10","0.03","0.0","0.0","60","38","56"
"USC00168067","RUSTON LA TECH, LA US","1960-01-11","0.03","0.0","0.0","70","53","64"
"USC00168067","RUSTON LA TECH, LA US","1960-01-12","0.00","0.0","0.0","78","57","65"
"USC00168067","RUSTON LA TECH, LA US","1960-01-13","0.00","0.0","0.0","74","62","67"
"USC00168067","RUSTON LA TECH, LA US","1960-01-14","0.10","0.0","0.0","71","63","69"
"USC00168067","RUSTON LA TECH, LA US","1960-01-15","0.70","0.0","0.0","70","38","43"
"USC00168067","RUSTON LA TECH, LA US","1960-01-16","0.00","0.0","0.0","57","29","35"
"USC00168067","RUSTON LA TECH, LA US","1960-01-17","1.00","0.0","0.0","51","31","45"
"USC00168067","RUSTON LA TECH, LA US","1960-01-18","0.00","0.0","0.0","50","31","35"
"USC00168067","RUSTON LA TECH, LA US","1960-01-19","0.00","0.0","0.0","40","21","27"
"USC00168067","RUSTON LA TECH, LA US","1960-01-20","0.00","0.0","0.0","40","19","26"
"USC00168067","RUSTON LA TECH, LA US","1960-01-21","0.00","0.0","0.0","44","16","25"
"USC00168067","RUSTON LA TECH, LA US","1960-01-22","0.00","0.0","0.0","51","21","31"
"USC00168067","RUSTON LA TECH, LA US","1960-01-23","0.00","0.0","0.0","51","21","26"
"USC00168067","RUSTON LA TECH, LA US","1960-01-24","0.00","0.0","0.0","40","20","29"
"USC00168067","RUSTON LA TECH, LA US","1960-01-25","0.00","0.0","0.0","47","21","29"
"USC00168067","RUSTON LA TECH, LA US","1960-01-26","0.00","0.0","0.0","58","25","48"
"USC00168067","RUSTON LA TECH, LA US","1960-01-27","0.45","0.0","0.0","61","44","59"
"USC00168067","RUSTON LA TECH, LA US","1960-01-28","0.00","0.0","0.0","70","39","44"
"USC00168067","RUSTON LA TECH, LA US","1960-01-29","0.40","0.0","0.0","69","39","43"
"USC00168067","RUSTON LA TECH, LA US","1960-01-30","0.00","0.0","0.0","45","33","36"
"USC00168067","RUSTON LA TECH, LA US","1960-01-31","0.00","0.0","0.0","54","27","33"
"USC00168067","RUSTON LA TECH, LA US","1960-02-01","0.00","0.0","0.0","41","30","39"
"USC00168067","RUSTON LA TECH, LA US","1960-02-02","0.00","0.0","0.0","55","34","40"
"USC00168067","RUSTON LA TECH, LA US","1960-02-03","0.00","0.0","0.0","53","37","47"
"USC00168067","RUSTON LA TECH, LA US","1960-02-04","1.30","0.0","0.0","58","44","50"
"USC00168067","RUSTON LA TECH, LA US","1960-02-05","0.20","0.0","0.0","59","44","47"
"USC00168067","RUSTON LA TECH, LA US","1960-02-06","0.00","0.0","0.0","55","36","41"
"USC00168067","RUSTON LA TECH, LA US","1960-02-07","0.00","0.0","0.0","59","28","39"
"USC00168067","RUSTON LA TECH, LA US","1960-02-08","0.00","0.0","0.0","65","30","40"
"USC00168067","RUSTON LA TECH, LA US","1960-02-09","0.00","0.0","0.0","69","36","64"
"USC00168067","RUSTON LA TECH, LA US","1960-02-10","0.00","0.0","0.0","76","53","56"
"USC00168067","RUSTON LA TECH, LA US","1960-02-11","0.00","0.0","0.0","61","29","35"
"USC00168067","RUSTON LA TECH, LA US","1960-02-12","0.00","0.0","0.0","52","32","35"
"USC00168067","RUSTON LA TECH, LA US","1960-02-13","0.23","2.3",,"35","24","31"
"USC00168067","RUSTON LA TECH, LA US","1960-02-14","0.00","0.0",,"47","21","29"
"USC00168067","RUSTON LA TECH, LA US","1960-02-15","0.00","0.0",,"47","27","31"
"USC00168067","RUSTON LA TECH, LA US","1960-02-16","0.19","0.0","0.0","54","29","37"
"USC00168067","RUSTON LA TECH, LA US","1960-02-17","0.00","0.0","0.0","41","33","38"
"USC00168067","RUSTON LA TECH, LA US","1960-02-18","0.31","1.1",,"60","26","32"
"USC00168067","RUSTON LA TECH, LA US","1960-02-19","0.00","0.0","0.0","46","24","32"
"USC00168067","RUSTON LA TECH, LA US","1960-02-20","0.00","0.0","0.0","54","28","39"
"USC00168067","RUSTON LA TECH, LA US","1960-02-21","0.89","0.0","0.0","50","28","45"
"USC00168067","RUSTON LA TECH, LA US","1960-02-22","0.00","0.0","0.0","45","26","37"
"USC00168067","RUSTON LA TECH, LA US","1960-02-23","0.00","0.0","0.0","57","30","41"
"USC00168067","RUSTON LA TECH, LA US","1960-02-24","0.19","0.0","0.0","64","36","45"
"USC00168067","RUSTON LA TECH, LA US","1960-02-25","1.79","0.0","0.0","46","24","28"
"USC00168067","RUSTON LA TECH, LA US","1960-02-26","0.00","0.0","0.0","37","20","26"
"USC00168067","RUSTON LA TECH, LA US","1960-02-27","0.00","0.0","0.0","50","22","37"
"USC00168067","RUSTON LA TECH, LA US","1960-02-28","0.08","0.0","0.0","54","35","45"
"USC00168067","RUSTON LA TECH, LA US","1960-02-29","0.27","0.0","0.0","52","33","38"
"USC00168067","RUSTON LA TECH, LA US","1960-03-01","0.11","0.0","0.0","46","29","32"
"USC00168067","RUSTON LA TECH, LA US","1960-03-02","1.29","0.0","0.0","40","28","33"
"USC00168067","RUSTON LA TECH, LA US","1960-03-03","0.37","0.0","0.0","35","22","26"
"USC00168067","RUSTON LA TECH, LA US","1960-03-04","0.00","0.0","0.0","38","20","26"
"USC00168067","RUSTON LA TECH, LA US","1960-03-05","0.00","0.0","0.0","48","22","28"
"USC00168067","RUSTON LA TECH, LA US","1960-03-06","0.00","0.0","0.0","45","23","36"
"USC00168067","RUSTON LA TECH, LA US","1960-03-07","0.05","0.0","0.0","47","34","38"
"USC00168067","RUSTON LA TECH, LA US","1960-03-08","0.00","0.0","0.0","46","32","36"
"USC00168067","RUSTON LA TECH, LA US","1960-03-09","0.04","0.0","0.0","59","33","49"
"USC00168067","RUSTON LA TECH, LA US","1960-03-10","0.00","0.0","0.0","56","33","39"
"USC00168067","RUSTON LA TECH, LA US","1960-03-11","0.05","0.0","0.0","52","34","37"
"USC00168067","RUSTON LA TECH, LA US","1960-03-12","0.00","0.0","0.0","53","26","35"
"USC00168067","RUSTON LA TECH, LA US","1960-03-13","0.00","0.0","0.0","55","32","38"
"USC00168067","RUSTON LA TECH, LA US","1960-03-14","0.16","0.0","0.0","51","35","39"
"USC00168067","RUSTON LA TECH, LA US","1960-03-15","1.01","0.0","0.0","42","36","40"
"USC00168067","RUSTON LA TECH, LA US","1960-03-16","0.00","0.0","0.0","47","32","38"
"USC00168067","RUSTON LA TECH, LA US","1960-03-17","0.00","0.0","0.0","58","29","34"
"USC00168067","RUSTON LA TECH, LA US","1960-03-18","0.00","0.0","0.0","51","25","40"
"USC00168067","RUSTON LA TECH, LA US","1960-03-19","0.00","0.0","0.0","60","36","47"
"USC00168067","RUSTON LA TECH, LA US","1960-03-20","0.00","0.0","0.0","62","36","45"
"USC00168067","RUSTON LA TECH, LA US","1960-03-21","0.00","0.0","0.0","66","33","40"
"USC00168067","RUSTON LA TECH, LA US","1960-03-22","0.00","0.0","0.0","61","36","53"
"USC00168067","RUSTON LA TECH, LA US","1960-03-23","0.02","0.0","0.0","81","41","46"
"USC00168067","RUSTON LA TECH, LA US","1960-03-24","0.00","0.0","0.0","68","43","57"
"USC00168067","RUSTON LA TECH, LA US","1960-03-25","0.00","0.0","0.0","73","46","49"
"USC00168067","RUSTON LA TECH, LA US","1960-03-26","0.02","0.0","0.0","50","43","49"
"USC00168067","RUSTON LA TECH, LA US","1960-03-27","0.02","0.0","0.0","62","47","62"
"USC00168067","RUSTON LA TECH, LA US","1960-03-28","0.02","0.0","0.0","69","50","58"
"USC00168067","RUSTON LA TECH, LA US","1960-03-29","0.00","0.0","0.0","79","56","68"
"USC00168067","RUSTON LA TECH, LA US","1960-03-30","0.22","0.0","0.0","81","49","58"
"USC00168067","RUSTON LA TECH, LA US","1960-03-31","0.00","0.0","0.0","73","38","60"
"USC00168067","RUSTON LA TECH, LA US","1960-04-01","0.00","0.0","0.0","80","51","61"
"USC00168067","RUSTON LA TECH, LA US","1960-04-02","0.00","0.0","0.0","72","44","59"
"USC00168067","RUSTON LA TECH, LA US","1960-04-03","0.02","0.0","0.0","72","51","55"
"USC00168067","RUSTON LA TECH, LA US","1960-04-04","0.00","0.0","0.0","63","45","56"
"USC00168067","RUSTON LA TECH, LA US","1960-04-05","0.00","0.0","0.0","72","39","60"
"USC00168067","RUSTON LA TECH, LA US","1960-04-06","0.00","0.0","0.0","72","43","61"
"USC00168067","RUSTON LA TECH, LA US","1960-04-07","0.00","0.0","0.0","85","54","67"
"USC00168067","RUSTON LA TECH, LA US","1960-04-08","0.00","0.0","0.0","84","58","67"
"USC00168067","RUSTON LA TECH, LA US","1960-04-09","0.32","0.0","0.0","76","51","54"
"USC00168067","RUSTON LA TECH, LA US","1960-04-10","0.00","0.0","0.0","68","42","53"
"USC00168067","RUSTON LA TECH, LA US","1960-04-11","0.00","0.0","0.0","76","42","59"
"USC00168067","RUSTON LA TECH, LA US","1960-04-12","0.00","0.0","0.0","76","48","62"
"USC00168067","RUSTON LA TECH, LA US","1960-04-13","0.00","0.0","0.0","74","57","63"
"USC00168067","RUSTON LA TECH, LA US","1960-04-14","0.00","0.0","0.0","76","57","66"
