"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00471923","CUMBERLAND, WI US","1960-01-01","0.02","0.0","1.0","28","17","27"
"USC00471923","CUMBERLAND, WI US","1960-01-02","0.38","4.0","5.0","31","24","26"
"USC00471923","CUMBERLAND, WI US","1960-01-03","0.00","0.0","5.0","26","0","5"
"USC00471923","CUMBERLAND, WI US","1960-01-04","0.00","0.0","5.0","5","-23","0"
"USC00471923","CUMBERLAND, WI US","1960-01-05","0.00","0.0","5.0","4","-22","-7"
"USC00471923","CUMBERLAND, WI US","1960-01-06","0.04","1.4","6.0","14","-11","12"
"USC00471923","CUMBERLAND, WI US","1960-01-07","0.22","3.0","8.0","32","11","30"
"USC00471923","CUMBERLAND, WI US","1960-01-08","0.00","0.0","8.0","30","-6","5"
"USC00471923","CUMBERLAND, WI US","1960-01-09","0.00","0.0","8.0","24","0","24"
"USC00471923","CUMBERLAND, WI US","1960-01-10","0.00","0.0","8.0","28","17","18"
"USC00471923","CUMBERLAND, WI US","1960-01-11","0.00","0.0","8.0","28","13","28"
"USC00471923","CUMBERLAND, WI US","1960-01-12","0.00","0.0","7.0","35","25","34"
"USC00471923","CUMBERLAND, WI US","1960-01-13","0.00","0.0","5.0","37","31","36"
"USC00471923","CUMBERLAND, WI US","1960-01-14","0.00","0.0","5.0","36","25","25"
"USC00471923","CUMBERLAND, WI US","1960-01-15","0.00","0.0","5.0","25","4","15"
"USC00471923","CUMBERLAND, WI US","1960-01-16","0.00","0.0","5.0","23","1","21"
"USC00471923","CUMBERLAND, WI US","1960-01-17","0.00","0.0","5.0","27","-6","23"
"USC00471923","CUMBERLAND, WI US","1960-01-18","0.00","0.0","5.0","23","10","13"
"USC00471923","CUMBERLAND, WI US","1960-01-19","0.00","0.0","5.0","16","4","15"
"USC00471923","CUMBERLAND, WI US","1960-01-20","0.00","0.0","5.0","15","2","7"
"USC00471923","CUMBERLAND, WI US","1960-01-21","0.00","0.0","5.0","10","-6","8"
