"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-01","0.00","0.0","0.0","45","30","46"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-02","0.00","0.0","0.0","49","42","43"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-03","0.18","0.0","0.0","43","30","32"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-04","0.00","0.0","0.0","40","27","34"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-05","0.00","0.0","0.0","36","29","31"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-06","0.35","4.0","4.0","35","28","36"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-07","0.04","0.0","3.0","36","32","35"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-08","0.00","0.0","2.0","44","27","29"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-09","0.00","0.0","0.0","57","25","52"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-10","0.00","0.0","0.0","60","49","55"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-11","0.08","0.0","0.0","67","48","52"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-12","0.00","0.0","0.0","69","48","66"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-13","0.13","0.0","0.0","72","52","56"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-14","0.09","0.0","0.0","68","52","56"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-15","0.55","0.0","0.0","56","38","38"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-16","0.00","0.0","0.0","40","32","38"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-17","0.01","0.0","0.0","48","36","48"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-18","0.35","0.0","0.0","49","31","34"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-01-19","0.00","0.0","0.0","34","21","24"
